ID,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWork,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2
1,CollS01,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.890,0.910,7,18,18,10,34,13,13,8,5,15,5,5,2,12,35,3,2,59,9,11,19,30,7,8,15,15,50,2,3,4,9,30,3,0,50,-9,1,2,-5,6,-1,113.333,53,19,54.0,24,1.000,1.300,54.0,22.0,55.0,28.0
2,CallS02,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.852,0.516,7,18,18,15,36,12,13,11,3,8,6,5,4,15,42,3,2,61,38,53,26,74,24,32,18,22,30,14,21,8,43,58,20,8,85,-8,-1,1,-20,-26,-6,48.649,56,20,147.0,73,2.600,3.700,102.0,47.0,268.0,172.0
3,CallS03,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.898,0.872,2,15,18,14,38,12,14,12,4,11,3,4,2,9,24,3,0,50,7,27,8,34,7,19,8,23,68,0,8,0,8,24,16,2,56,0,6,-6,-3,-9,8,111.765,51,13,67.0,33,1.300,2.500,59.0,23.0,77.0,58.0
4,CallS04,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.876,0.796,6,11,17,21,36,9,12,15,9,25,2,5,6,13,36,5,2,58,19,27,25,50,13,19,18,7,14,6,8,7,21,42,3,2,54,-3,-2,-1,-9,-7,12,72.000,60,24,80.0,30,1.300,1.300,70.0,27.0,93.0,34.0
5,CallS05,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.752,-0.126,4,27,21,34,56,19,15,22,10,18,8,6,12,26,46,10,4,61,93,58,52,118,52,34,32,38,32,41,24,20,85,72,38,12,92,-11,-5,4,-50,-32,-16,47.458,96,40,253.0,135,2.600,3.400,175.0,88.0,462.0,297.0
6,CallS06,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.900,0.964,5,8,24,10,34,8,17,9,17,50,0,7,1,8,24,13,2,62,8,3,7,16,7,3,6,5,31,1,0,1,2,13,1,0,50,-2,-7,1,-7,1,6,212.500,61,27,23.0,7,0.400,0.300,42.0,17.0,68.0,30.0
7,CallS07,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.718,0.690,5,14,36,31,52,10,23,19,17,33,4,13,12,29,56,10,2,60,26,31,36,62,18,21,23,7,11,8,10,13,31,50,8,4,63,-10,-7,7,-18,-5,7,83.871,100,48,104.0,42,1.000,0.900,102.0,45.0,106.0,50.0
8,CallS08,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.902,0.880,6,8,15,19,34,8,12,14,8,24,0,3,5,8,24,7,4,71,11,24,10,32,8,17,7,19,59,3,7,3,13,41,8,0,50,0,-4,-10,-8,1,7,106.250,54,20,64.0,32,1.200,1.600,59.0,26.0,70.0,42.0
9,CollS09,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.892,0.702,12,14,14,18,36,11,12,13,3,8,3,2,5,10,28,5,2,58,27,22,32,52,17,15,20,8,15,10,7,12,29,56,7,4,75,-1,-8,3,-17,-3,-6,69.231,51,15,93.0,41,1.800,2.700,72.0,28.0,131.0,76.0
10,CollS10,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.900,0.932,5,4,20,15,30,4,15,11,15,50,0,5,4,9,30,6,0,50,10,11,11,26,8,9,9,1,4,2,2,2,6,23,0,0,50,2,-1,-1,-4,1,3,115.385,54,24,33.0,7,0.600,0.300,44.0,16.0,61.0,27.0
