ID,Type,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWorked,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2,FQ1,FQ2,CapAction
1,E,R4C1,1,46,4,18,0,0,0,0,0,0,1,0.902,0.934,9,18,13,12,34,14,10,10,8,24,4,3,2,9,26,3,4,62,11,6,14,26,9,6,11,7,27,2,0,3,5,19,4,0,50,-10,4,-2,-7,4,3,130.769,55,21,38.0,12,0.691,0.571,46.5,16.5,32.1,9.4,29.00,26.50,15.00
2,E,R7C1,1,39,3,14,1,1,0,0,0,0,1,0.822,0.878,6,14,24,29,48,11,17,20,12,25,3,7,9,19,40,8,4,62,14,21,14,36,10,15,11,9,25,4,6,3,13,36,5,0,50,1,-13,0,-4,5,-1,133.333,83,35,58.0,22,0.699,0.629,70.5,28.5,49.3,17.9,36.50,30.50,25.00
3,E,R8C1,1,35,5,7,0,0,0,0,1,4,1,0.886,0.788,4,16,8,19,32,12,7,13,7,22,4,1,6,11,34,7,0,50,16,27,31,52,13,18,21,11,21,3,9,10,22,42,8,0,50,-6,-3,9,-13,2,11,61.538,50,18,85.0,33,1.700,1.833,67.5,25.5,114.8,46.8,27.00,36.50,31.00
4,E,R10C1,1,41,4,0,0,0,1,1,0,0,1,0.912,0.846,4,14,5,16,28,12,5,11,8,29,2,0,5,7,25,8,0,50,9,24,20,38,8,16,14,10,26,1,8,6,15,39,9,0,50,-6,-1,7,0,-6,6,73.684,43,15,63.0,25,1.465,1.667,53.0,20.0,77.7,33.3,28.50,32.00,24.00
5,E,R11C1,1,33,4,8,0,0,1,3,1,5,1,0.886,0.900,12,13,12,20,36,11,10,15,9,25,2,2,5,9,25,6,0,50,15,12,14,32,11,11,10,1,3,4,1,4,9,28,3,0,50,-3,-8,11,-11,1,10,112.500,54,18,42.0,10,0.778,0.556,48.0,14.0,37.3,7.8,30.50,17.50,22.00
6,E,R12C1,1,61,4,22,0,0,0,0,0,0,1,0.938,0.944,5,3,19,8,24,3,14,7,18,75,0,5,1,6,25,9,2,67,10,12,5,22,8,9,5,5,23,2,3,0,5,23,4,0,50,1,-10,1,-6,7,-1,109.091,50,26,32.0,10,0.640,0.385,41.0,18.0,26.2,6.9,49.50,22.50,17.00
7,E,R13C1,1,54,3,22,0,0,1,2,0,0,1,0.948,0.896,6,5,9,14,26,5,9,12,10,38,0,0,2,2,8,4,0,50,11,14,18,34,9,11,14,8,24,2,3,4,9,26,3,0,50,3,-7,4,-9,-1,10,76.471,38,12,51.0,17,1.342,1.417,44.5,14.5,59.7,20.5,32.00,29.00,20.00
8,E,R15C1,2,31,4,10,0,0,0,0,1,6,1,0.936,0.796,6,5,8,15,24,5,8,11,9,38,0,0,4,4,17,8,0,50,22,22,27,50,16,16,18,4,8,6,6,9,21,42,6,0,50,-1,-4,5,-4,-12,16,48.000,37,13,75.0,25,2.027,1.923,56.0,19.0,113.5,36.5,31.00,29.00,32.00
9,E,R18C1,1,39,5,18,1,1,1,1,1,3,1,0.968,0.878,6,4,7,9,20,4,7,9,7,35,0,0,0,0,0,0,0,50,19,19,12,38,13,15,10,7,18,6,4,2,12,32,6,0,50,-2,-1,3,-7,-1,8,52.632,27,7,57.0,19,2.111,2.714,42.0,13.0,88.7,35.3,27.50,28.00,28.00
10,E,R23C1,1,44,4,18,0,0,0,0,0,0,1,0.934,0.932,6,4,12,15,26,4,10,12,10,38,0,2,3,5,19,4,2,58,12,7,13,26,9,7,10,4,15,3,0,3,6,23,3,0,50,-4,0,0,-7,5,2,100.000,43,17,36.0,10,0.837,0.588,39.5,13.5,33.1,7.9,32.00,20.50,16.00
11,E,R26C1,1,28,3,5,0,0,0,0,0,0,1,0.896,0.800,10,11,17,17,34,9,13,12,5,15,2,4,5,11,32,4,2,59,22,17,32,50,16,13,21,13,26,6,4,11,21,42,12,0,50,-1,-5,0,-12,3,9,68.000,52,18,84.0,34,1.615,1.889,68.0,26.0,109.8,49.1,24.50,38.00,29.00
12,E,R1LSV,2,23,3,2,0,0,0,0,1,20,1,0.910,0.814,6,5,15,17,28,5,11,12,8,29,0,4,5,9,32,6,0,50,18,41,7,48,15,26,7,30,62,3,15,0,18,38,27,0,50,3,-7,4,1,2,-3,58.330,45,17,96.0,48,2.133,2.824,70.5,32.5,150.4,91.8,28.50,55.00,41.00
13,E,R2LSV,2,29,4,6,0,0,0,0,99,99,1,0.924,0.880,8,14,9,14,30,11,8,11,3,10,3,1,3,7,23,2,0,50,11,9,23,34,10,8,16,14,41,1,1,7,9,26,12,0,50,-3,4,-1,-10,-6,16,88.235,40,10,57.0,23,1.425,2.300,48.5,16.5,69.1,37.9,20.00,37.50,18.00
14,E,R3LSV,1,30,4,6,0,0,0,0,0,0,1,0.846,0.770,6,7,14,33,40,7,11,22,26,65,0,3,11,14,35,19,4,65,30,18,24,50,20,14,16,10,20,10,4,8,22,44,8,2,58,-5,-7,0,-14,-10,16,80.000,84,44,84.0,34,1.000,0.773,84.0,39.0,84.0,30.1,52.50,35.00,34.00
