Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2
906,826,,11,12,17,30,9,9,12,6,0.2,2,3,5,10,0.33,5,0,0.5,17,31,18,48,13,21,14,15,0.31,4,10,4,18,0.38,12,0,0.5,,,,,,,0.63,46,16,81,33,1.76,2.06,63.5,24.5,111.82,50.53
824,764,,24,16,24,46,17,12,17,5,0.11,7,4,7,18,0.39,3,0,0.5,18,21,27,48,14,15,17,9,0.19,4,6,10,20,0.42,10,2,0.69,,,,,,,0.96,69,23,79,31,1.14,1.35,74,27,84.72,36.39
814,860,,8,14,33,40,7,10,21,26,0.65,1,4,12,17,0.43,19,2,0.68,7,18,29,40,6,14,20,20,0.5,1,4,9,14,0.35,13,0,0.5,,,,,,,1,85,45,74,34,0.87,0.76,79.5,39.5,69.21,29.84
958,922,,9,6,7,20,8,5,7,4,0.2,1,1,0,2,0.1,1,0,0.5,12,18,2,24,9,13,2,15,0.63,3,5,0,8,0.33,7,0,0.5,,,,,,,0.83,26,6,47,23,1.81,3.83,36.5,14.5,65.98,55.58
868,926,,17,11,16,34,13,9,10,5,0.15,4,2,6,12,0.35,6,0,0.5,13,3,18,26,10,3,13,13,0.5,3,0,5,8,0.31,7,0,0.5,,,,,,,1.31,51,17,47,21,0.92,1.24,49,19,45.16,23.47
840,768,,5,20,31,40,5,14,21,23,0.58,0,6,10,16,0.4,14,0,0.5,16,25,30,48,10,17,19,9,0.19,6,8,11,25,0.52,8,0,0.5,,,,,,,0.83,79,39,82,34,1.04,0.87,80.5,36.5,83.56,31.82
804,874,,20,23,16,44,15,16,10,4,0.09,5,7,6,18,0.41,3,0,0.5,13,17,12,30,10,12,7,6,0.2,3,5,5,13,0.43,2,0,0.5,,,,,,,1.47,66,22,49,19,0.74,0.86,57.5,20.5,42.69,17.7
950,884,,10,6,11,24,8,6,10,6,0.25,2,0,1,3,0.13,3,0,0.5,7,25,10,32,7,17,8,19,0.59,0,8,2,10,0.31,14,0,0.5,,,,,,,0.75,33,9,61,29,1.85,3.22,47,19,86.88,61.22
912,640,,8,12,17,28,7,9,12,8,0.29,1,3,5,9,0.32,6,0,0.5,33,15,27,48,19,11,17,12,0.25,14,4,10,28,0.58,14,2,0.65,,,,,,,0.58,45,17,90,42,2,2.47,67.5,29.5,135,72.88
900,860,,11,15,17,34,9,13,12,5,0.15,2,2,5,9,0.26,6,0,0.5,11,14,24,40,9,10,17,11,0.28,2,4,7,13,0.33,8,2,0.6,,,,,,,0.85,48,14,66,26,1.38,1.86,57,20,78.38,37.14
934,926,,8,8,16,26,7,7,12,10,0.38,1,1,4,6,0.23,6,0,0.5,12,4,17,26,9,4,13,13,0.5,3,0,4,7,0.27,5,0,0.5,,,,,,,1,42,16,46,20,1.1,1.25,44,18,48.19,22.5
884,830,,7,12,26,32,5,9,18,22,0.69,2,3,8,13,0.41,11,2,0.59,11,14,27,40,7,10,19,17,0.43,4,4,8,16,0.4,8,4,0.68,,,,,,,0.8,69,37,77,37,1.12,1,73,37,81.46,37
884,856,,4,19,18,30,4,14,12,12,0.4,0,5,6,11,0.37,7,0,0.5,17,17,23,42,13,13,16,6,0.14,4,4,7,15,0.36,6,0,0.5,,,,,,,0.71,53,23,63,21,1.19,0.91,58,22,68.94,20.09
880,920,,8,14,17,34,8,12,10,8,0.24,0,2,7,9,0.26,12,0,0.5,3,9,23,28,3,8,17,23,0.82,0,1,6,7,0.25,11,0,0.5,,,,,,,1.21,51,17,58,30,1.14,1.76,54.5,23.5,61.98,41.47
966,810,,5,3,11,18,5,3,10,12,0.67,0,0,1,1,0.06,2,0,0.5,14,24,30,48,11,17,20,12,0.25,3,7,10,20,0.42,10,0,0.5,,,,,,,0.38,31,13,80,32,2.58,2.46,55.5,22.5,143.23,55.38
906,834,,5,10,19,28,5,7,14,14,0.5,0,3,5,8,0.29,7,0,0.5,7,25,29,42,6,17,19,15,0.36,1,8,10,19,0.45,11,0,0.5,,,,,,,0.67,50,22,76,34,1.52,1.55,63,28,95.76,43.27
886,920,,8,14,22,34,8,10,16,14,0.41,0,4,6,10,0.29,8,0,0.5,6,19,10,28,5,14,9,14,0.5,1,5,1,7,0.25,8,0,0.5,,,,,,,1.21,58,24,49,21,0.84,0.88,53.5,22.5,45.2,19.69
848,738,,16,18,14,36,10,12,10,6,0.17,6,6,4,16,0.44,2,2,0.56,14,34,24,56,12,17,17,25,0.45,2,17,7,26,0.46,25,2,0.52,,,,,,,0.64,60,24,109,53,1.82,2.21,84.5,38.5,153.51,85.02
854,890,,10,29,17,40,8,20,12,20,0.5,2,9,5,16,0.4,11,2,0.6,9,10,24,32,8,8,16,16,0.5,1,2,8,11,0.34,13,0,0.5,,,,,,,1.25,78,38,59,27,0.76,0.71,68.5,32.5,51.81,23.09
898,886,,8,15,15,32,8,10,12,4,0.13,0,5,3,8,0.25,7,0,0.5,5,17,23,34,5,13,16,14,0.41,0,4,7,11,0.32,10,0,0.5,,,,,,,0.94,44,12,59,25,1.34,2.08,51.5,18.5,69.06,38.54
736,912,,17,21,35,50,13,12,23,19,0.38,4,9,12,25,0.5,11,4,0.74,20,12,8,32,14,11,7,10,0.31,6,1,1,8,0.25,10,0,0.5,,,,,,,1.56,98,48,50,18,0.51,0.38,74,33,37.76,12.38
932,924,,3,4,21,22,3,4,15,23,1.05,0,0,6,6,0.27,12,0,0.5,7,14,13,28,6,12,10,8,0.29,1,2,3,6,0.21,3,0,0.5,,,,,,,0.79,51,29,42,14,0.82,0.48,46.5,21.5,38.29,10.38
952,950,,10,6,8,22,8,6,8,2,0.09,2,0,0,2,0.09,4,0,0.5,8,2,13,18,6,2,10,12,0.67,2,0,3,5,0.28,4,0,0.5,,,,,,,1.22,26,4,35,17,1.35,4.25,30.5,10.5,41.06,44.63
932,912,,7,10,9,20,6,7,6,4,0.2,1,3,3,7,0.35,2,0,0.5,6,12,18,28,5,10,13,11,0.39,1,2,5,8,0.29,7,0,0.5,,,,,,,0.71,31,11,47,19,1.52,1.73,39,15,59.13,25.91
920,848,,5,14,14,26,5,10,11,7,0.27,0,4,3,7,0.27,5,0,0.5,14,29,17,44,12,20,12,16,0.36,2,9,5,16,0.36,11,0,0.5,,,,,,,0.59,40,14,76,32,1.9,2.29,58,23,110.2,52.57
910,884,,13,7,22,34,11,7,16,14,0.41,2,0,6,8,0.24,10,2,0.62,6,18,22,34,5,14,15,11,0.32,1,4,7,12,0.35,9,0,0.5,,,,,,,1,58,24,57,23,0.98,0.96,57.5,23.5,56.51,22.52
952,818,,9,6,12,26,9,6,11,7,0.27,0,0,1,1,0.04,2,0,0.5,22,14,26,44,15,11,17,10,0.23,7,3,9,19,0.43,8,0,0.5,,,,,,,0.59,34,8,73,29,2.15,3.63,53.5,18.5,114.87,67.06
962,958,,4,10,7,20,4,9,7,7,0.35,0,1,0,1,0.05,2,0,0.5,10,10,3,20,8,9,3,7,0.35,2,1,0,3,0.15,3,0,0.5,,,,,,,1,28,8,30,10,1.07,1.25,29,9,31.07,11.25
948,882,,8,14,6,24,7,12,5,12,0.5,1,2,1,4,0.17,2,2,0.58,12,15,14,32,9,10,10,4,0.13,3,5,4,12,0.38,3,0,0.5,,,,,,,0.75,42,18,48,16,1.14,0.89,45,17,51.43,15.11
924,780,,18,7,10,28,13,7,8,11,0.39,5,0,2,7,0.25,8,0,0.5,17,25,24,48,13,17,17,6,0.13,4,8,7,19,0.4,5,2,0.67,,,,,,,0.58,46,18,75,27,1.63,1.5,60.5,22.5,98.64,33.75
830,842,,10,23,20,40,7,16,14,8,0.2,3,7,6,16,0.4,5,0,0.5,8,29,22,42,7,19,16,15,0.36,1,10,6,17,0.4,13,0,0.5,,,,,,,0.95,64,24,74,32,1.16,1.33,69,28,79.78,37.33
912,744,,5,21,11,28,5,14,9,14,0.5,0,7,2,9,0.32,12,0,0.5,27,10,34,48,16,8,22,18,0.38,11,2,12,25,0.52,11,2,0.58,,,,,,,0.58,51,23,93,45,1.82,1.96,72,34,131.29,66.52
944,930,,10,5,9,22,7,5,8,5,0.23,3,0,1,4,0.18,5,0,0.5,8,14,10,26,7,11,8,7,0.27,1,3,2,6,0.23,3,0,0.5,,,,,,,0.85,31,9,39,13,1.26,1.44,35,11,44.03,15.89
938,856,,9,7,16,28,8,7,13,11,0.39,1,0,3,4,0.14,5,0,0.5,14,21,21,42,11,16,15,6,0.14,3,5,6,14,0.33,4,0,0.5,,,,,,,0.67,43,15,62,20,1.44,1.33,52.5,17.5,75.7,23.33
914,888,,9,14,12,26,7,9,10,4,0.15,2,5,2,9,0.35,6,0,0.5,14,21,10,36,11,16,7,12,0.33,3,5,3,11,0.31,4,0,0.5,,,,,,,0.72,39,13,59,23,1.51,1.77,49,18,74.13,31.85
818,944,,26,10,21,44,18,9,14,10,0.23,8,1,7,16,0.36,8,0,0.5,6,13,7,20,4,10,6,10,0.5,2,3,1,6,0.3,3,0,0.5,,,,,,,2.2,70,26,36,16,0.51,0.62,53,21,27.26,12.92
898,806,,9,18,17,34,8,14,12,8,0.24,1,4,5,10,0.29,5,2,0.56,16,36,17,50,13,24,13,22,0.44,3,12,4,19,0.38,17,0,0.5,,,,,,,0.68,54,20,91,41,1.69,2.05,72.5,30.5,122.18,62.53
900,764,,10,6,24,32,7,6,17,19,0.59,3,0,7,10,0.31,11,2,0.59,19,19,32,52,13,14,21,11,0.21,6,5,11,22,0.42,11,2,0.56,,,,,,,0.62,63,31,87,35,1.38,1.13,75,33,103.57,37.26
804,732,,18,15,24,42,13,10,14,9,0.21,5,5,10,20,0.48,10,0,0.5,18,26,43,56,12,17,27,25,0.45,6,9,16,31,0.55,17,0,0.5,,,,,,,0.75,71,29,112,56,1.58,1.93,91.5,42.5,144.34,82.07
812,882,,6,15,37,42,6,13,23,27,0.64,0,2,14,16,0.38,26,4,0.76,21,6,19,34,14,5,15,11,0.32,7,1,4,12,0.35,9,2,0.53,,,,,,,1.24,89,47,59,25,0.66,0.53,74,36,49.06,19.15
790,822,,24,22,28,52,18,15,19,5,0.1,6,7,9,22,0.42,5,0,0.5,16,16,28,42,13,11,18,12,0.29,3,5,10,18,0.43,12,0,0.5,,,,,,,1.24,79,27,72,30,0.91,1.11,75.5,28.5,68.81,31.67
930,922,,10,9,15,30,9,9,12,6,0.2,1,0,3,4,0.13,5,0,0.5,9,10,12,26,7,7,10,4,0.15,2,3,2,7,0.27,2,0,0.5,,,,,,,1.15,40,10,37,11,0.93,1.1,38.5,10.5,35.61,11.55
782,894,,24,23,26,52,18,16,17,2,0.04,6,7,9,22,0.42,5,2,0.58,17,16,15,38,14,12,12,4,0.11,3,4,3,10,0.26,2,0,0.5,,,,,,,1.37,78,26,52,14,0.67,0.54,65,20,43.33,10.77
892,858,,7,19,21,36,6,14,16,12,0.33,1,5,5,11,0.31,4,2,0.56,15,18,22,40,11,13,16,8,0.2,4,5,6,15,0.38,3,4,0.63,,,,,,,0.9,61,25,67,27,1.1,1.08,64,26,70.3,28.08
934,690,,5,14,13,26,5,11,10,7,0.27,0,3,3,6,0.23,3,2,0.58,33,32,32,64,22,21,21,2,0.03,11,11,11,33,0.52,0,0,0.5,,,,,,,0.41,41,15,99,35,2.41,2.33,70,25,169.02,58.33
