ID,Type,CodeName,Gender,Age,Educ,BusExp,PrevFound,Qfounded,PrevWorked,Qworked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2,FQ1,FQ2,CapAction,ZBalDIMI1,ZBalDIME1,ZBalDIMS1,ZBalDIMI2,ZBalDIME2,ZBalDIMS2
6268.,NE,Scott,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.953,0.887,#NULL!,8,7,9,20,7,6,7,1,5,1,1,2,4,20,2,0,50,11,13,23,36,9,11,16,12,33,2,2,7,11,31,10,2,58,0.429,0.167,0.857,0.333,1.000,0.063,55.000,25,5,61,25,2.440,5.000,43.0,15.0,104.9,75.0,12.50,34.50,20.00,-0.36137,-0.68782,2.14686,0.41479,1.58597,-2.19856
7326.,NE,Jeff,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.804,0.823,#NULL!,14,17,37,48,11,13,24,24,50,3,4,13,20,42,19,2,56,6,22,24,34,5,13,16,14,41,1,9,8,18,53,9,0,50,0.545,0.231,0.500,0.000,0.462,0.688,141.000,92,46,66,32,0.717,0.696,79.0,39.0,56.7,27.1,49.00,37.50,18.00,0.18690,-0.37393,-0.24590,-1.30071,-0.42872,0.48300
6351.,NE,Mike,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.953,0.916,#NULL!,4,12,9,22,4,10,8,8,36,0,2,1,3,14,3,0,50,9,10,19,32,8,10,14,10,31,1,0,5,6,19,9,0,50,0.750,0.400,0.500,0.625,0.300,0.571,68.000,33,11,48,16,1.455,1.455,40.5,13.5,58.9,19.6,29.00,31.50,18.00,1.14637,0.45475,-0.24590,1.91585,-1.03313,-0.01500
6888.,NE,Chuck,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.879,0.916,#NULL!,16,17,15,36,13,12,11,3,8,3,5,4,12,33,3,0,50,8,12,19,32,7,10,15,13,41,1,2,4,7,22,5,0,50,0.308,0.667,0.545,0.143,0.600,0.600,112.000,51,15,52,20,1.020,1.333,51.5,17.5,52.5,23.3,22.00,36.50,17.00,-0.92839,1.76055,0.05864,-0.56549,0.08935,0.10758
6969.,NE,Wade,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.937,0.887,#NULL!,6,8,15,24,6,7,11,9,38,0,1,4,5,21,7,0,50,15,15,18,38,11,13,14,4,11,4,2,4,10,26,2,0,50,0.667,0.286,0.545,0.000,0.615,0.786,63.000,38,14,52,14,1.368,1.000,45.0,14.0,61.6,14.0,31.00,24.50,24.00,0.75548,-0.10488,0.05864,-1.30071,0.14691,0.90439
7218.,NE,Jeff,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.804,0.906,#NULL!,12,30,20,44,10,19,15,13,30,2,11,5,18,41,15,2,66,12,5,21,30,9,5,16,18,60,3,0,5,8,27,7,0,50,0.500,0.053,0.600,0.111,0.800,0.625,146.000,75,33,56,26,0.747,0.788,65.5,29.5,48.9,23.2,37.00,45.00,14.00,-0.02632,-1.24622,0.42407,-0.72887,0.83766,0.21484
6867.,NE,Mike,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.773,0.945,#NULL!,10,26,40,52,8,18,26,26,50,2,8,14,24,46,18,2,54,7,12,7,22,6,10,6,8,36,1,2,1,4,18,2,0,50,0.250,0.278,0.654,0.167,0.700,0.500,236.000,102,52,34,12,0.333,0.231,68.0,32.0,22.7,7.4,51.00,29.00,16.00,-1.19901,-0.14374,0.78483,-0.44296,0.46350,-0.32147
6936.,NE,Keith,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.763,0.809,#NULL!,24,18,33,50,16,13,21,13,26,8,5,12,25,50,11,4,70,32,17,18,48,22,12,14,18,38,10,5,4,19,40,11,2,56,0.188,0.308,0.381,0.409,0.250,0.643,104.000,88,42,87,39,0.989,0.929,87.5,40.5,86.5,37.6,38.00,43.00,34.00,-1.49218,0.00274,-1.04348,0.80468,-1.22020,0.29146
7034.,NE,Andy,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.908,0.817,#NULL!,6,13,20,30,5,10,15,15,50,1,3,5,9,30,6,2,60,15,21,26,42,11,14,17,9,21,4,7,9,20,48,7,0,50,0.800,0.000,0.533,0.091,1.000,0.353,71.000,54,26,71,29,1.315,1.115,62.5,27.5,82.2,30.7,40.00,31.50,25.00,1.38091,-1.50395,-0.02257,-0.83284,1.58597,-0.95242
6668.,NE,Sam,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.889,0.963,#NULL!,19,11,16,36,14,10,12,6,17,5,1,4,10,28,5,2,56,4,11,6,20,4,10,6,10,50,0,1,0,1,5,2,0,50,0.286,0.700,0.417,0.000,0.600,0.667,180.000,53,18,31,11,0.585,0.611,42.0,14.5,24.6,8.9,26.50,35.00,14.00,-1.03148,1.92377,-0.80421,-1.30071,0.08935,0.39361
