dimIPart1,dimEPart1,dimSPart1,intIPart1,intEPart1,intSPart1,difPart1,intPart1,dimPart1,diPart1,disPart1,VQ1,VQ2,dimPercPart1,intPercPart1,aiPercPart1,dimIPart2,dimEPart2,dimSPart2,intIPart2,intEPart2,intSPart2,difPart2,intPart2,dimPart2,diPart2,disPart2,SQ1,SQ2,dimPercPart2,intPercPart2,aiPercPart2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2,rho1,rho2,difPart1difPart2,type
9,9,16,1,1,6,34,8,14,10,0,56,22,0.41,0.24,0.5,9,20,9,2,9,3,38,14,22,13,0,74,36,0.58,0.37,0.5,1.32,1.64,65,29,85.89,47.45,0.902,0.866,0.89,Executive
8,13,11,2,5,3,32,10,7,5,2,51,19,0.22,0.31,0.56,8,19,28,4,8,17,58,29,29,22,2,118,60,0.5,0.5,0.64,2.31,3.16,84.5,39.5,195.51,124.74,0.902,0.646,0.55,Executive
13,8,11,2,1,4,32,7,7,5,0,46,14,0.22,0.22,0.5,13,8,14,5,2,7,36,14,9,7,0,59,23,0.25,0.39,0.5,1.28,1.64,52.5,18.5,67.34,30.39,0.914,0.858,0.89,Executive
5,7,13,1,5,7,28,13,11,8,0,52,24,0.39,0.46,0.5,14,10,10,6,2,3,34,11,8,7,0,53,19,0.24,0.32,0.5,1.02,0.79,52.5,21.5,53.51,17.02,0.878,0.896,0.82,Executive
7,7,8,1,3,2,24,6,3,3,0,33,9,0.13,0.25,0.5,15,10,15,7,0,6,40,13,5,8,0,58,18,0.13,0.33,0.5,1.76,2,45.5,13.5,79.97,27,0.934,0.858,0.6,Executive
5,8,17,0,0,6,30,6,21,12,4,61,31,0.7,0.2,0.63,13,15,10,3,7,7,42,17,3,4,0,62,20,0.07,0.4,0.5,1.02,0.65,61.5,25.5,62.51,16.45,0.922,0.828,0.71,Executive
4,9,9,0,1,1,22,2,5,1,0,29,7,0.23,0.09,0.5,10,8,10,3,0,2,28,5,2,4,0,35,7,0.07,0.18,0.5,1.21,1,32,7,38.62,7,0.956,0.93,0.79,Executive
7,7,12,1,3,3,28,7,8,2,0,43,15,0.29,0.25,0.5,15,23,12,7,11,4,50,22,19,11,0,91,41,0.38,0.44,0.5,2.12,2.73,67,28,141.79,76.53,0.926,0.806,0.56,Executive
6,5,7,1,1,1,18,3,3,0,0,24,6,0.17,0.17,0.5,15,11,14,6,3,4,40,13,5,5,0,58,18,0.13,0.33,0.5,2.42,3,41,12,99.08,36,0.96,0.878,0.45,Executive
12,18,12,6,9,4,42,19,12,8,2,75,33,0.29,0.45,0.67,8,16,8,2,7,1,32,10,16,11,2,60,28,0.5,0.31,0.53,0.8,0.85,67.5,30.5,54,25.88,0.818,0.892,1.31,Executive
7,10,11,1,1,4,28,6,5,6,0,39,11,0.18,0.21,0.5,10,7,23,3,1,12,40,16,29,20,0,85,45,0.73,0.4,0.5,2.18,4.09,62,28,135.13,114.55,0.928,0.84,0.7,Executive
